Posted On,Rent,BHK,Bathroom,Size,Floor,Area Type,City,Furnishing Status
2022-06-07,40000,3,2,1220,2,Carpet Area,Kolkata,Unfurnished
2022-05-30,10500,3,2,800,2,Carpet Area,Kolkata,Unfurnished
2022-04-29,10000,4,2,1110,2,Carpet Area,Kolkata,Unfurnished
2022-05-31,12000,3,3,1000,2,Super Area,Kolkata,Semi-Furnished
2022-06-25,25000,3,3,1400,5,Carpet Area,Kolkata,Furnished
2022-06-06,25000,3,3,1100,2,Super Area,Kolkata,Unfurnished
2022-05-12,35000,3,2,1012,2,Carpet Area,Kolkata,Semi-Furnished
2022-05-04,30000,3,2,1600,3,Super Area,Kolkata,Unfurnished
2022-04-26,10000,3,2,1000,2,Carpet Area,Kolkata,Unfurnished
2022-06-13,20000,3,2,1200,3,Super Area,Kolkata,Unfurnished
2022-06-17,15000,3,2,830,3,Super Area,Kolkata,Unfurnished
2022-06-10,10000,3,2,1500,11,Super Area,Kolkata,Semi-Furnished
2022-06-24,10000,4,2,1200,5,Super Area,Kolkata,Furnished
2022-05-12,25000,5,2,1880,2,Carpet Area,Kolkata,Unfurnished
2022-06-27,20000,3,3,737,13,Carpet Area,Mumbai,Semi-Furnished
2022-05-18,50000,3,3,1000,9,Carpet Area,Mumbai,Furnished
2022-07-09,43000,3,2,750,6,Carpet Area,Mumbai,Unfurnished
2022-05-14,50000,3,3,1150,17,Carpet Area,Mumbai,Semi-Furnished
2022-06-16,42000,3,3,950,5,Carpet Area,Mumbai,Unfurnished
2022-06-23,50000,3,3,1325,3,Carpet Area,Mumbai,Furnished
2022-06-26,40000,3,2,1100,21,Super Area,Mumbai,Unfurnished
2022-07-01,40000,3,3,1030,10,Carpet Area,Mumbai,Furnished
2022-05-10,50000,3,2,806,2,Super Area,Mumbai,Semi-Furnished
2022-05-10,32000,3,3,1200,4,Super Area,Mumbai,Semi-Furnished
2022-05-25,15000,3,2,704,5,Carpet Area,Mumbai,Unfurnished
2022-06-23,45000,3,3,950,15,Carpet Area,Mumbai,Unfurnished
2022-04-29,40000,3,2,1200,2,Super Area,Mumbai,Semi-Furnished
2022-07-07,45000,4,3,1016,3,Carpet Area,Mumbai,Unfurnished
2022-06-23,43000,3,3,850,8,Carpet Area,Mumbai,Unfurnished
2022-06-16,45000,3,3,850,5,Carpet Area,Mumbai,Unfurnished
2022-06-23,25000,3,3,1350,5,Carpet Area,Bangalore,Semi-Furnished
2022-05-02,28000,3,3,1021,10,Carpet Area,Bangalore,Furnished
2022-07-06,45000,3,3,1680,7,Super Area,Bangalore,Semi-Furnished
2022-06-30,20000,3,3,1600,2,Super Area,Bangalore,Semi-Furnished
2022-07-04,24000,3,2,1430,3,Super Area,Bangalore,Semi-Furnished
2022-06-12,32000,3,2,1300,2,Super Area,Bangalore,Semi-Furnished
2022-05-18,48000,3,3,2000,2,Carpet Area,Bangalore,Semi-Furnished
2022-07-07,36000,3,3,1771,10,Super Area,Bangalore,Semi-Furnished
2022-06-16,37000,3,3,1200,2,Super Area,Bangalore,Semi-Furnished
2022-05-27,18000,3,2,900,2,Super Area,Bangalore,Furnished
2022-06-16,20000,3,2,773,2,Carpet Area,Bangalore,Semi-Furnished
2022-06-14,40000,3,2,1840,5,Carpet Area,Bangalore,Semi-Furnished
2022-06-20,30000,3,2,1600,2,Carpet Area,Bangalore,Semi-Furnished
2022-05-05,21000,3,2,1159,4,Super Area,Bangalore,Unfurnished
2022-05-23,50000,4,4,2900,5,Super Area,Bangalore,Furnished
2022-06-07,15000,3,2,1360,5,Super Area,Bangalore,Semi-Furnished
2022-05-18,22000,3,2,1200,4,Carpet Area,Bangalore,Unfurnished
2022-07-06,43000,3,3,1700,3,Carpet Area,Bangalore,Semi-Furnished
2022-07-07,31000,3,3,1757,9,Super Area,Bangalore,Semi-Furnished
2022-05-10,28000,3,3,1281,2,Super Area,Bangalore,Semi-Furnished
2022-07-08,29000,3,3,1800,3,Carpet Area,Bangalore,Semi-Furnished
2022-06-06,16000,3,2,1200,2,Super Area,Bangalore,Semi-Furnished
2022-05-01,14000,3,3,1800,5,Super Area,Bangalore,Semi-Furnished
2022-05-05,31000,3,3,1700,6,Super Area,Bangalore,Furnished
2022-05-12,30000,3,2,1400,2,Carpet Area,Bangalore,Furnished
2022-05-23,30000,3,3,1645,6,Carpet Area,Bangalore,Semi-Furnished
2022-06-23,50000,3,3,1450,3,Super Area,Bangalore,Semi-Furnished
2022-06-18,35000,3,3,1600,20,Super Area,Bangalore,Semi-Furnished
