Posted On,Rent,BHK,Bathroom,Size,Floor,Area Type,City,Furnishing Status
2022-06-21,5000,1,1,250,1,Super Area,Kolkata,Unfurnished
2022-06-07,5000,1,1,400,1,Carpet Area,Kolkata,Unfurnished
2022-06-15,4000,1,1,300,0,Carpet Area,Kolkata,Unfurnished
2022-06-29,5000,2,2,500,0,Carpet Area,Kolkata,Unfurnished
2022-06-26,5000,1,1,600,2,Super Area,Kolkata,Unfurnished
2022-05-20,4600,2,1,400,3,Carpet Area,Kolkata,Semi-Furnished
2022-07-03,5000,2,1,800,0,Carpet Area,Kolkata,Unfurnished
2022-07-02,5000,1,1,300,1,Carpet Area,Kolkata,Unfurnished
2022-05-14,3500,1,1,250,0,Super Area,Kolkata,Semi-Furnished
2022-07-02,5000,1,1,300,0,Carpet Area,Kolkata,Unfurnished
2022-06-25,5000,1,1,450,2,Carpet Area,Kolkata,Semi-Furnished
2022-05-23,5000,1,1,300,1,Carpet Area,Kolkata,Unfurnished
2022-05-30,5000,1,1,20,2,Super Area,Kolkata,Unfurnished
2022-06-23,3900,1,1,200,2,Super Area,Kolkata,Furnished
2022-06-08,4700,1,1,250,2,Super Area,Kolkata,Furnished
2022-06-08,4700,1,1,250,0,Super Area,Kolkata,Furnished
2022-05-06,4500,1,1,450,1,Super Area,Kolkata,Unfurnished
2022-07-01,4700,1,1,250,1,Super Area,Kolkata,Furnished
2022-06-23,5000,2,1,400,1,Carpet Area,Kolkata,Semi-Furnished
2022-06-05,2200,2,1,550,2,Super Area,Kolkata,Furnished
2022-05-13,3500,1,1,250,1,Super Area,Kolkata,Furnished
2022-05-10,5000,2,1,1000,0,Carpet Area,Kolkata,Unfurnished
2022-05-06,3500,1,1,120,0,Super Area,Kolkata,Unfurnished
2022-05-06,5000,1,1,190,0,Super Area,Kolkata,Semi-Furnished
2022-07-02,4000,2,1,600,1,Carpet Area,Kolkata,Unfurnished
2022-06-26,5000,2,1,392,0,Super Area,Kolkata,Unfurnished
2022-06-12,4700,1,1,250,1,Super Area,Kolkata,Furnished
2022-05-14,5000,1,1,500,0,Carpet Area,Kolkata,Semi-Furnished
2022-05-20,5000,2,1,450,2,Carpet Area,Kolkata,Semi-Furnished
2022-05-14,5000,1,1,500,1,Carpet Area,Kolkata,Semi-Furnished
2022-06-04,3000,1,1,200,2,Super Area,Kolkata,Unfurnished
2022-06-20,3500,2,1,500,4,Carpet Area,Kolkata,Unfurnished
2022-05-19,3000,1,1,160,0,Super Area,Kolkata,Unfurnished
2022-06-13,3500,1,1,1000,0,Super Area,Kolkata,Semi-Furnished
2022-06-16,4500,1,1,450,0,Super Area,Kolkata,Unfurnished
2022-07-01,4500,1,1,230,0,Super Area,Kolkata,Unfurnished
2022-05-27,5000,1,1,500,0,Carpet Area,Kolkata,Semi-Furnished
2022-06-27,3200,3,2,800,1,Carpet Area,Kolkata,Furnished
2022-06-24,5000,2,1,450,2,Carpet Area,Kolkata,Unfurnished
2022-06-15,5000,1,1,700,0,Carpet Area,Kolkata,Unfurnished
2022-06-29,4500,2,1,750,0,Super Area,Kolkata,Furnished
2022-05-24,1500,1,1,200,0,Super Area,Kolkata,Semi-Furnished
2022-04-24,5000,1,1,350,0,Carpet Area,Kolkata,Semi-Furnished
2022-05-05,3000,1,1,500,0,Super Area,Kolkata,Semi-Furnished
